recipe_id,nom,auteur,details_recette,lien,tag,created_at
1,PÃ¢tes au pesto,Myself,,,easy,2025-12-27 11:53:28.042945
2,Ratatouille,Maman,"1) Faire dorer oignon et ail en premier.
2) Ajouter les poivrons et laisser cuire
3) Ajouter les aubergines et laisser cuire
4) Ajouter les courgettes
5) Laisser cuire Ã  feux doux

Conseils: bon Ã  manger le lendemain
On peut ajouter du curry et du chipotle comme Ã©pices",,"Confort, Recette de famille",2025-12-27 11:53:28.042945
3,Chili VG,Courtney,,,,2025-12-27 11:53:28.042945
4,Chili con carne,Ricardo,,https://www.ricardocuisine.com/recettes/1027-chili-classique,,2025-12-27 11:53:28.042945
5,Black Bean quinoa bowl,EatingWell,,https://www.eatingwell.com/recipe/260726/black-bean-quinoa-buddha-bowl/,,2025-12-27 11:53:28.042945
6,Bo Bun Poulet,Jow,,https://jow.fr/recipes/bo-bun-poulet-8xa20us5iaxc02x00dha?coversCount=2&from=menu,,2025-12-27 11:53:28.042945
7,Bourguignon express,Jow,,https://jow.fr/recipes/bourguignon-express-968wat351su2e3gu0z87?coversCount=2&from=menu,,2025-12-27 11:53:28.042945
8,Pates bolognaises,Petite Maman,Facile et rapide,,confort,2025-12-29 11:46:31.540576
10,"Salade patate douce, kale, poulet",eatingwell,"1) Préchauffer le four à 425 F. Mélanger les patates douces avec sel, poivre, huile et mettre sur un papier cuisson.
2) Roast 20 min jusqu'à ce que les pommes de terres soient crispy en extérieur.
3) Mettre les patates douces de côté pour refroidir.
4) Cuire le blanc de poulet, à la poile ou à l'eau bouilli (doit atteindre 165F à l'intérieur)
5) Faire la sauce de peanut avec peanut butter + tamari + miel + lime juice + eau + ail.
6) Dans chaque portion ajouter les patate douce, le poulet, ajouter les feuilles de kale et la sauce.
",https://www.eatingwell.com/recipe/277650/sweet-potato-kale-chicken-salad-with-peanut-dressing/,"healthy, salad",2026-01-04 12:08:48.840846
11,Soupe Courgette Brocoli,Anne,"Possibilité d'ajouter un fenouil
Ajouter des épices ",,Recette de famille,2026-01-04 12:36:00.146244
